# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  3.924583e+00   1.125974e+01   3.944483e-03   3.958089e-02   84950
  3.938101e+00   1.129885e+01   3.827494e-03   4.069649e-02   84912
  3.951789e+00   1.130140e+01   3.995013e-03   3.966102e-02   87162
  3.965420e+00   1.147504e+01   3.878666e-03   4.100567e-02   86440
  3.978946e+00   1.140593e+01   3.856469e-03   4.084439e-02   86560
  3.992604e+00   1.148325e+01   3.947133e-03   4.036526e-02   88698
  4.006224e+00   1.155103e+01   3.908165e-03   4.116484e-02   88920
  4.019914e+00   1.149426e+01   3.907564e-03   4.096930e-02   88323
  4.033463e+00   1.149215e+01   3.941385e-03   4.075384e-02   89360
  4.047191e+00   1.136849e+01   3.920678e-03   4.012619e-02   89040
  4.060772e+00   1.138654e+01   3.965659e-03   4.051859e-02   87684
  4.074289e+00   1.141523e+01   3.941664e-03   4.067948e-02   87900
  4.087951e+00   1.136683e+01   3.932995e-03   4.043602e-02   87884
  4.101525e+00   1.122033e+01   3.936703e-03   4.022943e-02   86844
  4.115106e+00   1.125432e+01   3.939490e-03   3.978244e-02   87216
  4.128692e+00   1.122350e+01   3.930534e-03   3.967405e-02   85952
  4.142291e+00   1.115430e+01   3.981611e-03   3.980323e-02   87264
  4.156016e+00   1.110138e+01   3.930927e-03   3.961879e-02   86316
  4.169516e+00   1.103164e+01   3.887819e-03   4.018511e-02   83976
  4.183033e+00   1.100619e+01   3.957351e-03   3.950220e-02   85928
  4.196752e+00   1.092684e+01   3.971860e-03   3.925524e-02   85608
  4.210347e+00   1.094101e+01   3.902488e-03   3.953215e-02   83964
  4.223963e+00   1.096471e+01   3.940777e-03   3.943310e-02   84708
  4.237476e+00   1.083965e+01   3.905502e-03   3.925976e-02   82260
  4.250988e+00   1.090129e+01   3.945996e-03   3.929861e-02   84296
  4.264733e+00   1.085621e+01   3.941065e-03   3.944517e-02   83460
  4.278231e+00   1.083280e+01   3.898421e-03   3.964050e-02   81444
  4.291717e+00   1.080669e+01   3.905830e-03   3.915505e-02   82144
  4.305327e+00   1.076253e+01   3.952156e-03   3.955528e-02   82180
  4.318919e+00   1.064458e+01   3.889070e-03   3.896933e-02   81420
  4.332623e+00   1.070463e+01   3.967259e-03   3.926721e-02   82104
  4.346159e+00   1.061146e+01   3.882328e-03   3.880006e-02   79620
