# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  4.414192e+00   1.107959e+01   3.922071e-03   4.114484e-02   78952
  4.427933e+00   1.108975e+01   3.938715e-03   4.093434e-02   79656
  4.441606e+00   1.117662e+01   3.881671e-03   4.184399e-02   77184
  4.455081e+00   1.106903e+01   3.897139e-03   4.111120e-02   76944
  4.468742e+00   1.104080e+01   3.934255e-03   4.071286e-02   77984
  4.482318e+00   1.113557e+01   3.887487e-03   4.218340e-02   75336
  4.495891e+00   1.109982e+01   3.967951e-03   4.122693e-02   77280
  4.509585e+00   1.094102e+01   3.911883e-03   4.078598e-02   75120
  4.523186e+00   1.089874e+01   4.006918e-03   4.053283e-02   76364
  4.536881e+00   1.093433e+01   3.870669e-03   4.142931e-02   74244
  4.550448e+00   1.085892e+01   4.007133e-03   4.120131e-02   74400
  4.563952e+00   1.084019e+01   3.919594e-03   4.123092e-02   73388
  4.577709e+00   1.077550e+01   3.981865e-03   4.070531e-02   74964
  4.591267e+00   1.062315e+01   3.838052e-03   4.102324e-02   71100
  4.604865e+00   1.064293e+01   3.984832e-03   4.030647e-02   74100
  4.618437e+00   1.072873e+01   3.839966e-03   4.195113e-02   70068
  4.631915e+00   1.063916e+01   3.927566e-03   4.112567e-02   72296
  4.645712e+00   1.060712e+01   3.920569e-03   4.066155e-02   71724
  4.659287e+00   1.062309e+01   3.930407e-03   4.170562e-02   69852
  4.672792e+00   1.067547e+01   3.886828e-03   4.140899e-02   69732
  4.686387e+00   1.056807e+01   3.918196e-03   4.126780e-02   69512
  4.699982e+00   1.049811e+01   3.922067e-03   4.088135e-02   69252
  4.713606e+00   1.050378e+01   3.871092e-03   4.162702e-02   68064
  4.727139e+00   1.046807e+01   3.988880e-03   4.143704e-02   67944
  4.740774e+00   1.051104e+01   3.945867e-03   4.112499e-02   68204
  4.754479e+00   1.044126e+01   3.902220e-03   4.159742e-02   66684
  4.767989e+00   1.048394e+01   3.962347e-03   4.215061e-02   66264
  4.781640e+00   1.039910e+01   3.928075e-03   4.120196e-02   66368
  4.795269e+00   1.041919e+01   3.954395e-03   4.202628e-02   65100
  4.808774e+00   1.033511e+01   3.896555e-03   4.192881e-02   64644
  4.822442e+00   1.030904e+01   3.926189e-03   4.153409e-02   64440
  4.835874e+00   1.029393e+01   3.906547e-03   4.263403e-02   62668
  4.849538e+00   1.030639e+01   3.941186e-03   4.111698e-02   64696
  4.863356e+00   1.025877e+01   3.937367e-03   4.209419e-02   62820
  4.876903e+00   1.019477e+01   3.924058e-03   4.224948e-02   61920
  4.890519e+00   1.024775e+01   3.892807e-03   4.255935e-02   61532
  4.903985e+00   1.021972e+01   3.879794e-03   4.313045e-02   59952
  4.917706e+00   1.036597e+01   4.001762e-03   4.269700e-02   62460
  4.931448e+00   1.013292e+01   3.882676e-03   4.288629e-02   58644
  4.944703e+00   1.013351e+01   3.891283e-03   4.331768e-02   58188
  4.958407e+00   1.011229e+01   3.945950e-03   4.254599e-02   60044
  4.972127e+00   1.017408e+01   3.952119e-03   4.318935e-02   57780
  4.985746e+00   1.019980e+01   3.974538e-03   4.355451e-02   58380
  4.999353e+00   1.014104e+01   3.828451e-03   4.406814e-02   55508
  5.012797e+00   1.021387e+01   3.995934e-03   4.402663e-02   56964
  5.026563e+00   1.010562e+01   3.869203e-03   4.359591e-02   56148
  5.040180e+00   1.008953e+01   3.936315e-03   4.429047e-02   54468
  5.053627e+00   1.007812e+01   3.966640e-03   4.393195e-02   54540
  5.067356e+00   9.938035e+00   3.927116e-03   4.349994e-02   54512
  5.080932e+00   1.004145e+01   3.890016e-03   4.501647e-02   52488
  5.094532e+00   1.008912e+01   3.948577e-03   4.465117e-02   53400
  5.108248e+00   1.000839e+01   3.977201e-03   4.495087e-02   51972
  5.121705e+00   9.969958e+00   3.889875e-03   4.612009e-02   50924
  5.135379e+00   1.004305e+01   3.876250e-03   4.539883e-02   51120
  5.148878e+00   1.005426e+01   3.938458e-03   4.618864e-02   49116
  5.162337e+00   9.938757e+00   3.939938e-03   4.516150e-02   49920
  5.176058e+00   1.001161e+01   3.882717e-03   4.663968e-02   48692
  5.189489e+00   9.939868e+00   3.893182e-03   4.699701e-02   47532
  5.203137e+00   9.976187e+00   3.925008e-03   4.708491e-02   48312
  5.216836e+00   1.011838e+01   3.962643e-03   4.891362e-02   46704
  5.230366e+00   1.011745e+01   3.892765e-03   4.841976e-02   46328
