Galaxy_ID,N_points,Has_bulge,N_params_fitted,Yd_MAP,Yb_MAP,fd_MAP,chi2_data_MAP,chi2_prior_penalty,chi2_total_MAP,chi2_reduced_nuisance,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,RMS_pct_strict
NGC2683,11,1,3,0.75,0.75,1.1,15.3472,5.0816,20.4288,1.9184,40.0467,48.0206,21.5
NGC2841,50,1,3,1.05,0.95,0.85,108.9359,23.6508,132.5867,2.3178,6.5974,2.5784,4.68
NGC2903,34,0,2,0.75,,1.1,792.8689,5.0,797.8689,24.7772,638.5396,736.519,28.71
NGC2915,30,0,2,1.25,,0.85,90.2093,38.25,128.4593,3.2218,5.348,4.3675,29.56
NGC2955,24,1,3,0.55,0.85,0.925,81.8542,1.4572,83.3114,3.8978,124.301,134.9778,22.78
NGC2976,27,0,2,0.65,,1.05,31.8414,1.69,33.5314,1.2737,28.7207,33.5294,30.98
NGC2998,13,0,2,0.65,,0.95,76.0701,1.69,77.7601,6.9155,198.3085,256.4288,25.72
NGC3109,25,0,2,0.65,,0.85,120.9201,3.69,124.6101,5.2574,6.2555,6.6322,14.78
NGC3198,43,0,2,0.75,,1.15,192.1581,6.25,198.4081,4.6868,218.2025,279.2102,24.24
NGC3521,41,0,2,0.75,,1.075,43.2092,4.5625,47.7717,1.1079,44.1244,46.9938,24.45
NGC3726,12,0,2,0.55,,1.0,32.1853,0.16,32.3453,3.2185,142.8505,163.5917,29.07
NGC3741,21,0,2,0.55,,0.85,21.4367,2.41,23.8467,1.1282,3.0661,3.0918,13.8
NGC3769,12,0,2,0.55,,0.875,8.8981,1.7225,10.6206,0.8898,33.466,40.4863,24.42
NGC3877,13,0,2,0.65,,1.1,88.1111,2.44,90.5511,8.0101,111.2625,125.0022,31.53
